file_name,cluster_id
00420000101_00001,1
00420000101_00002,1
00420000101_00003,1
00420000101_00004,1
00420000101_00005,1
00420000101_00006,1
00420000101_00007,1
00420000101_00008,1
00420000101_00009,1
00420000101_00010,1
00420000101_00011,1
00420000101_00012,1
00004210001_00013,6
00420000101_00014,1
00004210001_00015,6
00420000101_00016,1
00004210001_00017,6
00420000101_00018,1
00004210001_00019,6
00420000101_00020,1
00420000101_00021,1
00420000101_00022,1
00004210001_00023,6
00004210001_00024,6
00420000106_00025,6
00420000106_00026,6
00420000106_00027,6
00420000106_00028,6
00004210001_00029,6
00004210001_00030,6
00004210001_00031,6
00004210001_00032,6
00004210001_00033,6
00004220001_00034,1
00004220001_00035,1
00004220001_00036,1
00004220001_00037,1
00004220001_00038,1
00004230001_00039,1
00004230001_00040,1
00004240001_00041,1
00004250001_00042,1
00004250001_00043,1
00004250001_00044,1
00004250001_00045,1
00004250001_00046,1
00004250001_00047,1
00004250001_00048,1
00004250001_00049,1
00004250001_00050,1
00004250001_00051,1
00004250001_00052,1
00004270001_00053,1
00004270001_00054,1
00004270001_00055,1
00004270001_00056,1
00004270001_00057,1
00004270001_00058,1
00004270001_00059,1
00004280001_00060,1
00004270001_00061,1
00004280001_00062,1
00004280001_00063,1
00004280001_00064,1
00004280001_00065,1
00004280001_00066,1
00004290001_00067,1
00004290001_00068,1
00004290001_00069,1
00004290001_00070,1
00004290001_00071,1
00004290001_00072,1
00004290001_00073,1
00004290001_00074,1
00004290001_00075,1
00004300001_00076,1
00004300001_00077,1
00004300001_00078,1
00004300001_00079,1
00004310001_00080,1
00004310001_00081,1
00004310001_00082,1
00004310001_00083,1
00004310001_00084,1
00004310001_00085,1
00004310001_00086,1
00004310001_00087,1
00004310001_00088,1
00004310001_00089,1
00004310001_00090,1
00004320001_00091,1
00004320001_00092,1
00004320001_00093,1
00004320001_00094,1
00004320001_00095,1
00004320001_00096,1
00004330001_00097,1
00004330001_00098,1
00004330001_00099,1
00004330001_00100,1
00004330001_00101,1
00004330001_00102,1
00004330001_00103,1
00004330001_00104,1
00004340001_00105,1
00004340001_00106,1
00004340001_00107,1
00004340001_00108,1
00004340001_00109,1
00004340001_00110,1
00004340001_00111,1
00004340001_00112,1
00004340001_00113,1
00004340001_00114,1
00004340001_00115,1
00004350001_00116,1
